year,population,gdp
2000,8882792,"3071793,54813692"
2001,8909128,"3120126,15081117"
2002,8940788,"3184877,50265702"
2003,8975670,"3260034,2909102"
2004,9011392,"3400566,85340668"
2005,9047752,"3496349,78550639"
2006,9113257,"3660662,35412801"
2007,9182927,"3785421,75671125"
2008,9256347,"3764334,75257447"
2009,9340682,"3568744,29840817"
2010,9415570,"3782582,51095647"
2011,9482855,"3883926,55470059"
2012,9555893,"3872331,925561"
2013,9644864,"3920284,48686854"
2014,9747355,"4022286,62756159"
2015,9851017,4201543
2016,9995153,"4314311,37586623"
2017,10120242,0
